Participant,AWEQ,AWE.1,AWE.2,AWE.3,AWE.4,AWE.5,AWE.6,AWE.7,AWE.8,AWE.9,AWE.10,AWE.11,AWE.12,AWE.13,AWE.14,AWE.15,AWE.16,AWE.17,AWE.18,AgeLearn,AgeFluent,AgeRead,AgeFluentRead,PrimInstruct,CounEng,FamEng,EnvEng,ForeignAccent,EngRead,EngWrite,EngSpeak,EngListen,EngProf,ThaiDaily,EngDaily,ThaiAcad,EngAcad
29,4,3,2,4,3,4,5,5,5,4,3,3,5,5,3,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2.555555556,3,1,2,4,3,4,1,1,4,3,3,2,4,5,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2.5,4,1,3,5,2,3,1,1,4,4,3,2,3,4,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,3.9,5,3,3,4,5,3,NA,NA,5,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1.823529412,5,1,1,5,2,1,1,1,NA,3,3,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,5,NA,NA,5,4,4,NA,NA,NA,2,3,NA,NA,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,5,5,NA,NA,5,5,5,NA,NA,NA,5,5,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,3.333333333,5,NA,2,5,4,3,3,5,NA,5,1,2,3,5,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2.5,4,1,4,5,2,2,1,1,3,4,4,1,2,4,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,4,5,NA,NA,4,3,4,NA,NA,NA,4,4,NA,NA,4,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,4.055555556,5,5,5,5,5,5,3,4,5,5,5,1,5,5,3,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,4.125,5,NA,NA,5,4,NA,NA,NA,NA,4,4,NA,3,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3.153846154,5,NA,2,5,5,2,NA,NA,5,2,2,2,2,5,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
